FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR_OF_MANUFACTURE,MANUFACTURER,ICAO_TYPE,ACTIVE_WEATHER
44568,0,YX,4926,N110HQ,JFK,RDU,2022-01-07,0:00:00,2022-01-07,7:40:00,0,0,0,2,2007,Embraer,E75L,0
44568,18,B6,1185,N178JB,JFK,RDU,2022-01-07,18:00:00,2022-01-07,17:29:00,26,31,74,0,2005,Embraer,E190,0
44568,22,B6,1295,N503JB,JFK,AUS,2022-01-07,22:12:00,2022-01-07,20:40:00,16,92,206,0,1999,Airbus,A320,0
44568,13,B6,285,N358JB,JFK,RDU,2022-01-07,13:25:00,2022-01-07,12:20:00,17,65,80,0,2013,Embraer,E190,1
44568,0,B6,295,N789JB,JFK,AUS,2022-01-07,0:00:00,2022-01-07,13:44:00,0,0,0,2,2011,Airbus,A320,0
44568,20,B6,385,N334JB,JFK,RDU,2022-01-07,20:43:00,2022-01-07,20:40:00,29,3,70,0,2011,Embraer,E190,0
44568,20,B6,97,N997JL,JFK,DEN,2022-01-07,20:56:00,2022-01-07,20:00:00,36,56,244,0,2018,Airbus,A321,0
44568,19,DL,1077,N863DN,JFK,DEN,2022-01-07,19:55:00,2022-01-07,19:59:00,66,-4,246,0,2016,Boeing,B739,0
44568,0,DL,1170,N712TW,JFK,DEN,2022-01-07,0:00:00,2022-01-07,8:05:00,0,0,0,2,1997,Boeing,B752,0
44568,0,DL,1175,N342NB,JFK,AUS,2022-01-07,0:00:00,2022-01-07,13:05:00,0,0,0,2,2002,Airbus,A319,0
44568,19,9E,4829,N348PQ,JFK,RDU,2022-01-07,19:09:00,2022-01-07,16:55:00,20,134,73,0,2015,Bombardier,CRJ9,0
44568,0,9E,4873,N296PQ,JFK,RDU,2022-01-07,0:00:00,2022-01-07,8:15:00,0,0,0,2,2013,Bombardier,CRJ9,0
44568,0,9E,5113,N348PQ,JFK,RDU,2022-01-07,0:00:00,2022-01-07,11:42:00,0,0,0,2,2015,Bombardier,CRJ9,0
44568,20,9E,5247,N294PQ,JFK,RDU,2022-01-07,20:25:00,2022-01-07,19:20:00,34,65,72,0,2013,Bombardier,CRJ9,0
44568,0,YX,5619,N203JQ,JFK,RDU,2022-01-07,0:00:00,2022-01-07,13:35:00,0,0,0,2,2008,Embraer,E75L,0
44568,18,DL,655,N333NB,JFK,AUS,2022-01-07,18:55:00,2022-01-07,18:39:00,28,16,211,0,2001,Airbus,A319,0
