FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_Date,CRS_DEP_Date,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
1/10/2022,6,B6,795,N709JB,JFK,AUS,1/10/202,1/10/202,17,-11,250,0,2008,Airbus,A320,0
1/10/2022,0,B6,97,N975JT,JFK,DEN,1/10/202,1/10/202,0,0,0,1,2017,Airbus,A321,1
1/10/2022,19,DL,1077,N886DN,JFK,DEN,1/10/202,1/10/202,16,-5,240,0,2017,Boeing,B739,0
1/10/2022,7,DL,1170,N712TW,JFK,DEN,1/10/202,1/10/202,29,-7,237,0,1997,Boeing,B752,0
1/10/2022,16,DL,1175,N364NB,JFK,AUS,1/10/202,1/10/202,14,192,225,0,2003,Airbus,A319,0
1/10/2022,16,9E,4829,N324PQ,JFK,RDU,1/10/202,1/10/202,18,-3,74,0,2014,Bombardier,CRJ9,0
1/10/2022,8,9E,4873,N315PQ,JFK,RDU,1/10/202,1/10/202,25,-5,84,0,2014,Bombardier,CRJ9,0
1/10/2022,11,9E,5113,N324PQ,JFK,RDU,1/10/202,1/10/202,11,-4,89,0,2014,Bombardier,CRJ9,0
1/10/2022,19,9E,5247,N311PQ,JFK,RDU,1/10/202,1/10/202,15,-2,71,0,2014,Bombardier,CRJ9,0
1/10/2022,13,YX,5619,N243JQ,JFK,RDU,1/10/202,1/10/202,20,-10,84,0,2008,Embraer,E75L,0
1/10/2022,18,DL,655,N325NB,JFK,AUS,1/10/202,1/10/202,17,-15,218,0,2001,Airbus,A319,0
1/10/2022,8,DL,659,N325NB,JFK,AUS,1/10/202,1/10/202,30,7,238,0,2001,Airbus,A319,0
1/11/2022,17,AA,2772,N832NN,JFK,AUS,1/11/202,1/11/202,16,-1,205,0,2010,Boeing,B738,0
1/11/2022,7,AA,2813,N877NN,JFK,AUS,1/11/202,1/11/202,19,-7,213,0,2011,Boeing,B738,0
1/11/2022,14,YX,4503,N108HQ,JFK,RDU,1/11/202,1/11/202,13,-8,71,0,2007,Embraer,E75L,0
1/11/2022,17,YX,4540,N116HQ,JFK,RDU,1/11/202,1/11/202,20,68,66,0,2007,Embraer,E75L,0
