FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
1/6/2022,22,B6,97,N959JB,JFK,DEN,1/6/2022 22:41,1/6/2022 20:00,15,161,236,0,2015,Airbus,A321,0
1/6/2022,19,DL,1077,N890DN,JFK,DEN,1/6/2022 19:55,1/6/2022 19:59,45,-4,230,0,2018,Boeing,B739,0
1/6/2022,8,DL,1170,N712TW,JFK,DEN,1/6/2022 8:18,1/6/2022 8:05,26,13,230,0,1997,Boeing,B752,0
1/6/2022,13,DL,1175,N333NB,JFK,AUS,1/6/2022 13:00,1/6/2022 13:05,21,-5,237,0,2001,Airbus,A319,0
1/6/2022,16,9E,4829,N314PQ,JFK,RDU,1/6/2022 16:55,1/6/2022 16:55,16,0,86,0,2014,Bombardier,CRJ9,0
1/6/2022,8,9E,4873,N691CA,JFK,RDU,1/6/2022 8:08,1/6/2022 8:15,37,-7,78,0,2007,Bombardier,CRJ9,0
1/6/2022,11,9E,5113,N314PQ,JFK,RDU,1/6/2022 11:35,1/6/2022 11:42,15,-7,80,0,2014,Bombardier,CRJ9,0
1/6/2022,19,9E,5247,N299PQ,JFK,RDU,1/6/2022 19:16,1/6/2022 19:20,16,-4,83,0,2013,Bombardier,CRJ9,0
1/6/2022,13,YX,5619,N235JQ,JFK,RDU,1/6/2022 13:28,1/6/2022 13:35,14,-7,82,0,2008,Embraer,E75L,0
1/6/2022,19,DL,655,N326NB,JFK,AUS,1/6/2022 19:31,1/6/2022 18:39,38,52,223,0,2001,Airbus,A319,0
1/6/2022,10,DL,659,N326NB,JFK,AUS,1/6/2022 10:12,1/6/2022 8:30,13,102,234,0,2001,Airbus,A319,0
1/7/2022,17,AA,2772,N927NN,JFK,AUS,1/7/2022 17:29,1/7/2022 17:29,18,0,210,0,2013,Boeing,B738,0
1/7/2022,0,AA,2813,N953NN,JFK,AUS,1/7/2022 0:00,1/7/2022 8:00,0,0,0,2,2014,Boeing,B738,0
1/7/2022,14,YX,4503,N106HQ,JFK,RDU,1/7/2022 14:21,1/7/2022 14:30,19,-9,82,0,2007,Embraer,E75L,1
1/7/2022,16,YX,4540,N870RW,JFK,RDU,1/7/2022 16:43,1/7/2022 16:45,23,-2,79,0,2006,Embraer,E170,0
1/7/2022,12,YX,4628,N138HQ,JFK,RDU,1/7/2022 12:52,1/7/2022 13:00,41,-8,80,0,2008,Embraer,E75L,1
1/7/2022,0,YX,4926,N110HQ,JFK,RDU,1/7/2022 0:00,1/7/2022 7:40,0,0,0,2,2007,Embraer,E75L,0
1/7/2022,18,B6,1185,N178JB,JFK,RDU,1/7/2022 18:00,1/7/2022 17:29,26,31,74,0,2005,Embraer,E190,0
1/7/2022,22,B6,1295,N503JB,JFK,AUS,1/7/2022 22:12,1/7/2022 20:40,16,92,206,0,1999,Airbus,A320,0
1/7/2022,13,B6,285,N358JB,JFK,RDU,1/7/2022 13:25,1/7/2022 12:20,17,65,80,0,2013,Embraer,E190,1
1/7/2022,0,B6,295,N789JB,JFK,AUS,1/7/2022 0:00,1/7/2022 13:44,0,0,0,2,2011,Airbus,A320,0
1/7/2022,20,B6,385,N334JB,JFK,RDU,1/7/2022 20:43,1/7/2022 20:40,29,3,70,0,2011,Embraer,E190,0
1/7/2022,20,B6,97,N997JL,JFK,DEN,1/7/2022 20:56,1/7/2022 20:00,36,56,244,0,2018,Airbus,A321,0
1/7/2022,19,DL,1077,N863DN,JFK,DEN,1/7/2022 19:55,1/7/2022 19:59,66,-4,246,0,2016,Boeing,B739,0
1/7/2022,0,DL,1170,N712TW,JFK,DEN,1/7/2022 0:00,1/7/2022 8:05,0,0,0,2,1997,Boeing,B752,0
1/7/2022,0,DL,1175,N342NB,JFK,AUS,1/7/2022 0:00,1/7/2022 13:05,0,0,0,2,2002,Airbus,A319,0
1/7/2022,19,9E,4829,N348PQ,JFK,RDU,1/7/2022 19:09,1/7/2022 16:55,20,134,73,0,2015,Bombardier,CRJ9,0
1/7/2022,0,9E,4873,N296PQ,JFK,RDU,1/7/2022 0:00,1/7/2022 8:15,0,0,0,2,2013,Bombardier,CRJ9,0
1/7/2022,0,9E,5113,N348PQ,JFK,RDU,1/7/2022 0:00,1/7/2022 11:42,0,0,0,2,2015,Bombardier,CRJ9,0
1/7/2022,20,9E,5247,N294PQ,JFK,RDU,1/7/2022 20:25,1/7/2022 19:20,34,65,72,0,2013,Bombardier,CRJ9,0
1/7/2022,0,YX,5619,N203JQ,JFK,RDU,1/7/2022 0:00,1/7/2022 13:35,0,0,0,2,2008,Embraer,E75L,0
1/7/2022,18,DL,655,N333NB,JFK,AUS,1/7/2022 18:55,1/7/2022 18:39,28,16,211,0,2001,Airbus,A319,0
1/7/2022,0,DL,659,N333NB,JFK,AUS,1/7/2022 0:00,1/7/2022 8:30,0,0,0,2,2001,Airbus,A319,0
1/8/2022,17,AA,2772,N339PL,JFK,AUS,1/8/2022 17:45,1/8/2022 17:29,22,16,228,0,2017,Boeing,B738,0
1/8/2022,7,AA,2813,N991NN,JFK,AUS,1/8/2022 7:55,1/8/2022 7:59,16,-4,214,0,2016,Boeing,B738,0
1/8/2022,14,YX,4503,N412YX,JFK,RDU,1/8/2022 14:46,1/8/2022 14:30,16,16,70,0,2013,Embraer,E75L,0
1/8/2022,16,YX,4540,N453YX,JFK,RDU,1/8/2022 16:52,1/8/2022 16:45,22,7,71,0,2021,Embraer,E75L,0
1/8/2022,12,YX,4628,N446YX,JFK,RDU,1/8/2022 12:57,1/8/2022 13:00,27,-3,74,0,2015,Embraer,E75L,0
1/8/2022,7,YX,4926,N107HQ,JFK,RDU,1/8/2022 7:33,1/8/2022 7:40,21,-7,79,0,2007,Embraer,E75L,0
1/8/2022,18,B6,1185,N266JB,JFK,RDU,1/8/2022 18:29,1/8/2022 17:29,18,60,71,0,2007,Embraer,E190,0
1/8/2022,14,B6,285,N358JB,JFK,RDU,1/8/2022 14:40,1/8/2022 12:20,17,140,70,0,2013,Embraer,E190,0
1/8/2022,14,B6,295,N768JB,JFK,AUS,1/8/2022 14:20,1/8/2022 13:44,24,36,207,0,2009,Airbus,A320,0
1/8/2022,20,B6,385,N358JB,JFK,RDU,1/8/2022 20:37,1/8/2022 20:40,16,-3,68,0,2013,Embraer,E190,0
1/8/2022,6,B6,795,N649JB,JFK,AUS,1/8/2022 6:51,1/8/2022 6:59,21,-8,211,0,2006,Airbus,A320,0
1/8/2022,21,B6,97,N956JT,JFK,DEN,1/8/2022 21:34,1/8/2022 20:00,17,94,239,0,2015,Airbus,A321,0
1/8/2022,20,DL,1077,N895DN,JFK,DEN,1/8/2022 20:56,1/8/2022 19:59,30,57,236,0,2018,Boeing,B739,0
1/8/2022,8,DL,1170,N721TW,JFK,DEN,1/8/2022 8:48,1/8/2022 7:59,27,49,234,0,1999,Boeing,B752,0
1/8/2022,16,9E,4829,N691CA,JFK,RDU,1/8/2022 16:53,1/8/2022 16:55,24,-2,71,0,2007,Bombardier,CRJ9,0
1/8/2022,8,9E,4873,N908XJ,JFK,RDU,1/8/2022 8:28,1/8/2022 8:15,21,13,73,0,2007,Bombardier,CRJ9,0
1/8/2022,12,9E,5113,N341PQ,JFK,RDU,1/8/2022 12:07,1/8/2022 11:00,17,67,71,0,2014,Bombardier,CRJ9,0
1/8/2022,19,9E,5247,N315PQ,JFK,RDU,1/8/2022 19:23,1/8/2022 19:30,19,-7,69,0,2014,Bombardier,CRJ9,0
1/8/2022,13,9E,5447,N311PQ,JFK,RDU,1/8/2022 13:36,1/8/2022 13:35,16,1,74,0,2014,Bombardier,CRJ9,0
1/8/2022,19,DL,655,N342NB,JFK,AUS,1/8/2022 19:37,1/8/2022 18:39,40,58,208,0,2002,Airbus,A319,0
1/8/2022,8,DL,659,N342NB,JFK,AUS,1/8/2022 8:52,1/8/2022 8:30,28,22,208,0,2002,Airbus,A319,0
1/9/2022,17,AA,2772,N961NN,JFK,AUS,1/9/2022 17:55,1/9/2022 17:29,21,26,236,0,2014,Boeing,B738,0
1/9/2022,7,AA,2813,N335PH,JFK,AUS,1/9/2022 7:57,1/9/2022 8:00,13,-3,235,0,2017,Boeing,B738,0
1/9/2022,14,YX,4503,N103HQ,JFK,RDU,1/9/2022 14:24,1/9/2022 14:30,40,-6,79,0,2007,Embraer,E75L,0
1/9/2022,16,YX,4540,N413YX,JFK,RDU,1/9/2022 16:41,1/9/2022 16:45,23,-4,74,0,2013,Embraer,E75L,0
1/9/2022,12,YX,4628,N428YX,JFK,RDU,1/9/2022 12:54,1/9/2022 13:00,35,-6,74,0,2014,Embraer,E75L,0
1/9/2022,7,YX,4926,N453YX,JFK,RDU,1/9/2022 7:34,1/9/2022 7:40,16,-6,76,0,2021,Embraer,E75L,0
1/9/2022,17,B6,1185,N274JB,JFK,RDU,1/9/2022 17:42,1/9/2022 17:29,11,13,75,0,2007,Embraer,E190,0
1/9/2022,22,B6,1295,N504JB,JFK,AUS,1/9/2022 22:39,1/9/2022 20:40,19,119,234,0,1999,Airbus,A320,1
1/9/2022,12,B6,285,N324JB,JFK,RDU,1/9/2022 12:11,1/9/2022 12:20,17,-9,74,0,2010,Embraer,E190,0
1/9/2022,13,B6,295,N709JB,JFK,AUS,1/9/2022 13:38,1/9/2022 13:44,29,-6,249,0,2008,Airbus,A320,0
1/9/2022,21,B6,385,N216JB,JFK,RDU,1/9/2022 21:09,1/9/2022 20:40,16,29,74,0,2006,Embraer,E190,1
1/9/2022,20,B6,97,N972JT,JFK,DEN,1/9/2022 20:09,1/9/2022 20:00,26,9,239,0,2016,Airbus,A321,0
1/9/2022,20,DL,1077,N855DN,JFK,DEN,1/9/2022 20:08,1/9/2022 19:59,26,9,245,0,2016,Boeing,B739,0
1/9/2022,8,DL,1170,N707TW,JFK,DEN,1/9/2022 8:10,1/9/2022 7:59,12,11,240,0,1997,Boeing,B752,0
1/9/2022,12,DL,1175,N325NB,JFK,AUS,1/9/2022 12:58,1/9/2022 13:05,16,-7,240,0,2001,Airbus,A319,0
1/9/2022,20,9E,4829,N294PQ,JFK,RDU,1/9/2022 20:39,1/9/2022 16:55,26,224,78,0,2013,Bombardier,CRJ9,0
1/9/2022,8,9E,4873,N309PQ,JFK,RDU,1/9/2022 8:11,1/9/2022 8:15,25,-4,74,0,2014,Bombardier,CRJ9,0
1/9/2022,13,9E,5113,N294PQ,JFK,RDU,1/9/2022 13:10,1/9/2022 11:42,31,88,69,0,2013,Bombardier,CRJ9,0
1/9/2022,19,9E,5247,N299PQ,JFK,RDU,1/9/2022 19:13,1/9/2022 19:20,21,-7,77,0,2013,Bombardier,CRJ9,0
1/9/2022,14,YX,5619,N226JQ,JFK,RDU,1/9/2022 14:16,1/9/2022 13:35,37,41,76,0,2008,Embraer,E75L,0
1/9/2022,18,DL,655,N364NB,JFK,AUS,1/9/2022 18:59,1/9/2022 18:39,25,20,228,0,2003,Airbus,A319,0
1/9/2022,8,DL,659,N364NB,JFK,AUS,1/9/2022 8:38,1/9/2022 8:30,19,8,233,0,2003,Airbus,A319,0
1/10/2022,17,AA,2772,N335PH,JFK,AUS,1/10/2022 17:24,1/10/2022 17:29,17,-5,223,0,2017,Boeing,B738,0
1/10/2022,7,AA,2813,N986NN,JFK,AUS,1/10/2022 7:57,1/10/2022 8:00,22,-3,226,0,2016,Boeing,B738,0
1/10/2022,14,YX,4503,N138HQ,JFK,RDU,1/10/2022 14:22,1/10/2022 14:30,26,-8,76,0,2008,Embraer,E75L,0
1/10/2022,21,YX,4533,N404YX,JFK,RDU,1/10/2022 21:35,1/10/2022 21:40,30,-5,76,0,2013,Embraer,E75L,0
