FL_DATE,DEP_HOUR,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,MESONET_STATION,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,RANGE,WIDTH,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
1/3/2022,11,B6,295,B6,295,N629JB,JFK,AUS,1/3/2022 11:04,1/3/2022 11:03,17,1,206,1521,0,40.64,-73.77861,13,JFK,2005,Airbus,A320,Medium Range,Narrow-body,20,12,0,10,0.61,-8.28,51.37,30.11,3000,3,1,1,0,4,0
1/3/2022,22,B6,385,B6,385,N307JB,JFK,RDU,1/3/2022 22:25,1/3/2022 21:35,19,50,72,427,0,40.64,-73.77861,13,JFK,2009,Embraer,E190,Short Range,Narrow-body,350,24,29,10,-2.78,-11.72,50.17,30.05,3000,4,1,1,1,3,0
1/3/2022,7,B6,795,B6,795,N794JB,JFK,AUS,1/3/2022 7:34,1/3/2022 6:59,18,35,214,1521,0,40.64,-73.77861,13,JFK,2011,Airbus,A320,Medium Range,Narrow-body,350,9,0,10,3.28,-3.89,59.36,30.09,2700,2,1,1,0,4,0
1/3/2022,23,B6,97,B6,97,N966JT,JFK,DEN,1/3/2022 23:18,1/3/2022 20:00,0,198,0,1626,1,40.64,-73.77861,13,JFK,2016,Airbus,A321,Medium Range,Narrow-body,340,19,0,10,-2.78,-12.22,48.2,30.1,10000,3,0,1,1,3,0
1/3/2022,20,DL,1077,DL,1077,N893DN,JFK,DEN,1/3/2022 20:33,1/3/2022 19:59,19,34,239,1626,0,40.64,-73.77861,13,JFK,2018,Boeing,B739,Medium Range,Narrow-body,360,18,23,10,-1.72,-10.61,50.7,30.03,3000,3,1,1,0,4,0
1/3/2022,9,DL,1170,DL,1170,N828MH,JFK,DEN,1/3/2022 9:42,1/3/2022 8:59,19,43,228,1626,0,40.64,-73.77861,13,JFK,2000,Boeing,B764,Long Range,Wide-body,360,18,25,10,1.72,-5.61,58.22,30.06,2800,3,1,1,0,4,0
1/3/2022,13,DL,1175,DL,1175,N113DQ,JFK,AUS,1/3/2022 13:01,1/3/2022 13:00,22,1,206,1521,0,40.64,-73.77861,13,JFK,2019,Airbus,BCS1,Medium Range,Narrow-body,360,16,23,10,-0.61,-10,49.05,30.1,3700,2,1,1,0,4,0
1/3/2022,9,DL,5078,9E,5078,N909XJ,JFK,RDU,1/3/2022 9:20,1/3/2022 8:20,27,60,86,427,0,40.64,-73.77861,13,JFK,2007,Bombardier,CRJ9,Short Range,Narrow-body,360,18,25,10,1.72,-5.61,58.22,30.06,2800,3,1,1,0,4,0
1/3/2022,16,DL,5113,9E,5113,N336PQ,JFK,RDU,1/3/2022 16:30,1/3/2022 12:00,30,270,74,427,0,40.64,-73.77861,13,JFK,2014,Bombardier,CRJ9,Short Range,Narrow-body,20,13,19,10,-1.11,-11.72,44.37,30.15,8000,2,0,1,0,4,0
1/3/2022,20,DL,5247,9E,5247,N931XJ,JFK,RDU,1/3/2022 20:06,1/3/2022 19:40,18,26,73,427,0,40.64,-73.77861,13,JFK,2008,Bombardier,CRJ9,Short Range,Narrow-body,360,18,23,10,-1.72,-10.61,50.7,30.03,3000,3,1,1,0,4,0
1/3/2022,15,DL,5816,YX,5816,N231JQ,JFK,RDU,1/3/2022 15:44,1/3/2022 15:20,29,24,80,427,0,40.64,-73.77861,13,JFK,2008,Embraer,E75L,Short Range,Narrow-body,10,17,0,10,-1.11,-11.72,44.37,30.13,8500,2,0,1,0,4,0
1/3/2022,7,DL,659,DL,659,N127DU,JFK,AUS,1/3/2022 7:55,1/3/2022 8:00,32,-5,215,1521,0,40.64,-73.77861,13,JFK,2019,Airbus,BCS1,Medium Range,Narrow-body,350,9,0,10,3.28,-3.89,59.36,30.09,2700,2,1,1,0,4,0
1/4/2022,17,AA,2772,AA,2772,N335PH,JFK,AUS,1/4/2022 17:25,1/4/2022 17:29,17,-4,217,1521,0,40.64,-73.77861,13,JFK,2017,Boeing,B738,Medium Range,Narrow-body,240,7,0,10,-1.72,-12.22,44.58,30.42,25000,1,0,0,1,1,0
1/4/2022,7,AA,2813,AA,2813,N878NN,JFK,AUS,1/4/2022 7:56,1/4/2022 8:00,19,-4,211,1521,0,40.64,-73.77861,13,JFK,2011,Boeing,B738,Medium Range,Narrow-body,330,13,0,10,-5.61,-12.22,59.63,30.31,0,0,0,0,0,0,0
1/4/2022,14,AA,4503,YX,4503,N138HQ,JFK,RDU,1/4/2022 14:20,1/4/2022 14:30,20,-10,71,427,0,40.64,-73.77861,13,JFK,2008,Embraer,E75L,Short Range,Narrow-body,340,5,0,10,-5,-13.28,52.27,30.46,4000,2,1,0,1,1,0
1/4/2022,16,AA,4540,YX,4540,N120HQ,JFK,RDU,1/4/2022 16:35,1/4/2022 16:45,23,-10,77,427,0,40.64,-73.77861,13,JFK,2007,Embraer,E75L,Short Range,Narrow-body,0,0,0,10,-2.22,-12.78,44.23,30.45,25000,1,0,0,1,1,0
1/4/2022,12,AA,4628,YX,4628,N428YX,JFK,RDU,1/4/2022 12:56,1/4/2022 13:00,27,-4,74,427,0,40.64,-73.77861,13,JFK,2014,Embraer,E75L,Short Range,Narrow-body,340,12,0,10,-6.72,-13.89,56.71,30.42,3500,1,1,0,0,1,0
1/4/2022,7,AA,4926,YX,4926,N105HQ,JFK,RDU,1/4/2022 7:40,1/4/2022 7:40,29,0,76,427,0,40.64,-73.77861,13,JFK,2007,Embraer,E75L,Short Range,Narrow-body,330,13,0,10,-5.61,-12.22,59.63,30.31,0,0,0,0,0,0,0
1/4/2022,8,B6,285,B6,285,N368JB,JFK,RDU,1/4/2022 8:38,1/4/2022 8:40,23,-2,72,427,0,40.64,-73.77861,13,JFK,2013,Embraer,E190,Short Range,Narrow-body,320,12,0,10,-6.11,-12.78,59.23,30.33,0,0,0,0,0,0,0
1/4/2022,11,B6,295,B6,295,N605JB,JFK,AUS,1/4/2022 11:33,1/4/2022 11:29,14,4,207,1521,0,40.64,-73.77861,13,JFK,2005,Airbus,A320,Medium Range,Narrow-body,320,11,0,10,-6.72,-14.39,54.44,30.4,0,0,0,0,0,0,0
1/4/2022,22,B6,385,B6,385,N373JB,JFK,RDU,1/4/2022 22:06,1/4/2022 21:35,14,31,67,427,0,40.64,-73.77861,13,JFK,2013,Embraer,E190,Short Range,Narrow-body,200,5,0,10,-1.72,-8.89,58.06,30.38,25000,1,0,0,1,3,0
1/4/2022,9,B6,795,B6,795,N640JB,JFK,AUS,1/4/2022 9:57,1/4/2022 9:59,14,-2,205,1521,0,40.64,-73.77861,13,JFK,2006,Airbus,A320,Medium Range,Narrow-body,310,13,0,10,-6.11,-13.89,54.12,30.35,0,0,0,0,0,0,0
1/4/2022,20,B6,97,B6,97,N949JT,JFK,DEN,1/4/2022 20:44,1/4/2022 20:00,22,44,240,1626,0,40.64,-73.77861,13,JFK,2015,Airbus,A321,Medium Range,Narrow-body,210,9,0,10,0,-8.28,53.7,30.38,25000,1,0,0,1,3,0
1/4/2022,20,DL,1077,DL,1077,N392DA,JFK,DEN,1/4/2022 20:18,1/4/2022 19:59,24,19,241,1626,0,40.64,-73.77861,13,JFK,2000,Boeing,B738,Medium Range,Narrow-body,210,9,0,10,0,-8.28,53.7,30.38,25000,1,0,0,1,3,0
1/4/2022,8,DL,1170,DL,1170,N835MH,JFK,DEN,1/4/2022 8:55,1/4/2022 8:59,12,-4,231,1626,0,40.64,-73.77861,13,JFK,2000,Boeing,B764,Long Range,Wide-body,320,12,0,10,-6.11,-12.78,59.23,30.33,0,0,0,0,0,0,0
1/4/2022,13,DL,1175,DL,1175,N106DU,JFK,AUS,1/4/2022 13:56,1/4/2022 13:00,16,56,217,1521,0,40.64,-73.77861,13,JFK,2019,Airbus,BCS1,Medium Range,Narrow-body,340,10,0,10,-6.72,-13.89,56.71,30.44,3500,2,1,0,1,1,0
1/4/2022,8,DL,5078,9E,5078,N292PQ,JFK,RDU,1/4/2022 8:17,1/4/2022 8:20,22,-3,79,427,0,40.64,-73.77861,13,JFK,2013,Bombardier,CRJ9,Short Range,Narrow-body,320,12,0,10,-6.11,-12.78,59.23,30.33,0,0,0,0,0,0,0
1/4/2022,13,DL,5113,9E,5113,N336PQ,JFK,RDU,1/4/2022 13:48,1/4/2022 12:00,14,108,76,427,0,40.64,-73.77861,13,JFK,2014,Bombardier,CRJ9,Short Range,Narrow-body,340,10,0,10,-6.72,-13.89,56.71,30.44,3500,2,1,0,1,1,0
1/4/2022,19,DL,5247,9E,5247,N314PQ,JFK,RDU,1/4/2022 19:44,1/4/2022 19:40,35,4,75,427,0,40.64,-73.77861,13,JFK,2014,Bombardier,CRJ9,Short Range,Narrow-body,210,9,0,10,0,-9.39,49.23,30.38,25000,1,0,0,1,3,0
1/4/2022,15,DL,5816,YX,5816,N218JQ,JFK,RDU,1/4/2022 15:19,1/4/2022 15:20,22,-1,76,427,0,40.64,-73.77861,13,JFK,2007,Embraer,E75L,Short Range,Narrow-body,310,5,0,10,-3.89,-13.28,48.08,30.47,4000,2,1,0,1,1,0
1/4/2022,8,DL,659,DL,659,N134DU,JFK,AUS,1/4/2022 8:11,1/4/2022 8:00,16,11,210,1521,0,40.64,-73.77861,13,JFK,2020,Airbus,BCS1,Medium Range,Narrow-body,320,12,0,10,-6.11,-12.78,59.23,30.33,0,0,0,0,0,0,0
1/5/2022,17,AA,2772,AA,2772,N934NN,JFK,AUS,1/5/2022 17:25,1/5/2022 17:29,16,-4,251,1521,0,40.64,-73.77861,13,JFK,2013,Boeing,B738,Medium Range,Narrow-body,220,9,0,6,4.39,3.89,96.55,29.93,700,2,1,0,0,4,1
1/5/2022,9,AA,2813,AA,2813,N829NN,JFK,AUS,1/5/2022 9:31,1/5/2022 8:00,21,91,241,1521,0,40.64,-73.77861,13,JFK,2010,Boeing,B738,Medium Range,Narrow-body,240,7,0,10,1.11,-2.78,75.26,30.2,3200,3,1,1,1,4,0
1/5/2022,14,AA,4503,YX,4503,N422YX,JFK,RDU,1/5/2022 14:24,1/5/2022 14:30,24,-6,83,427,0,40.64,-73.77861,13,JFK,2014,Embraer,E75L,Short Range,Narrow-body,150,5,0,9,2.78,1.72,92.76,30.02,1800,3,1,1,0,4,1
1/5/2022,17,AA,4540,YX,4540,N115HQ,JFK,RDU,1/5/2022 17:16,1/5/2022 16:45,30,31,78,427,0,40.64,-73.77861,13,JFK,2007,Embraer,E75L,Short Range,Narrow-body,220,9,0,6,4.39,3.89,96.55,29.93,700,2,1,0,0,4,1
1/5/2022,12,AA,4628,YX,4628,N439YX,JFK,RDU,1/5/2022 12:50,1/5/2022 13:00,27,-10,79,427,0,40.64,-73.77861,13,JFK,2014,Embraer,E75L,Short Range,Narrow-body,270,4,0,5,1.11,-1.11,85.11,30.08,800,2,1,0,0,4,1
1/5/2022,8,AA,4926,YX,4926,N425YX,JFK,RDU,1/5/2022 8:02,1/5/2022 7:59,31,3,77,427,0,40.64,-73.77861,13,JFK,2014,Embraer,E75L,Short Range,Narrow-body,250,8,0,10,0,-3.28,78.58,30.23,25000,1,0,0,1,3,0
1/5/2022,18,B6,1185,B6,1185,N281JB,JFK,RDU,1/5/2022 18:42,1/5/2022 17:29,28,73,77,427,0,40.64,-73.77861,13,JFK,2007,Embraer,E190,Short Range,Narrow-body,210,12,0,7,5,3.89,92.52,29.89,900,1,1,0,0,4,1
1/5/2022,12,B6,285,B6,285,N284JB,JFK,RDU,1/5/2022 12:59,1/5/2022 12:20,27,39,76,427,0,40.64,-73.77861,13,JFK,2008,Embraer,E190,Short Range,Narrow-body,270,4,0,5,1.11,-1.11,85.11,30.08,800,2,1,0,0,4,1
1/5/2022,13,B6,295,B6,295,N507JT,JFK,AUS,1/5/2022 13:41,1/5/2022 13:44,14,-3,239,1521,0,40.64,-73.77861,13,JFK,2000,Airbus,A320,Medium Range,Narrow-body,200,4,0,4,1.72,0,88.33,30.07,900,2,1,0,0,4,1
1/5/2022,6,B6,795,B6,795,N608JB,JFK,AUS,1/5/2022 6:50,1/5/2022 6:59,13,-9,230,1521,0,40.64,-73.77861,13,JFK,2005,Airbus,A320,Medium Range,Narrow-body,210,13,0,10,0,-5.61,65.92,30.28,25000,1,0,0,1,2,0
1/5/2022,20,B6,97,B6,97,N974JT,JFK,DEN,1/5/2022 20:14,1/5/2022 20:00,24,14,236,1626,0,40.64,-73.77861,13,JFK,2016,Airbus,A321,Medium Range,Narrow-body,190,11,0,10,7.22,6.72,96.63,29.8,500,1,1,0,0,4,0
1/5/2022,20,DL,1077,DL,1077,N3755D,JFK,DEN,1/5/2022 20:32,1/5/2022 19:59,34,33,236,1626,0,40.64,-73.77861,13,JFK,2001,Boeing,B738,Medium Range,Narrow-body,190,11,0,10,7.22,6.72,96.63,29.8,500,1,1,0,0,4,0
1/5/2022,8,DL,1170,DL,1170,N723TW,JFK,DEN,1/5/2022 8:21,1/5/2022 8:05,27,16,247,1626,0,40.64,-73.77861,13,JFK,2000,Boeing,B752,Medium Range,Narrow-body,250,8,0,10,0,-3.28,78.58,30.23,25000,1,0,0,1,3,0
1/5/2022,13,DL,1175,DL,1175,N326NB,JFK,AUS,1/5/2022 13:27,1/5/2022 13:05,17,22,239,1521,0,40.64,-73.77861,13,JFK,2001,Airbus,A319,Medium Range,Narrow-body,200,4,0,4,1.72,0,88.33,30.07,900,2,1,0,0,4,1
