FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
44567,13,B6,295,N789JB,JFK,AUS,1/6/2022,1:45:00 PM,1/6/2022,1:44:00 PM,27,1,233,0,2011,Airbus,A320,0
44567,21,B6,385,N283JB,JFK,RDU,1/6/2022,9:29:00 PM,1/6/2022,8:40:00 PM,34,49,88,0,2007,Embraer,E190,0
44567,22,B6,97,N959JB,JFK,DEN,1/6/2022,10:41:00 PM,1/6/2022,8:00:00 PM,15,161,236,0,2015,Airbus,A321,0
44567,19,DL,1077,N890DN,JFK,DEN,1/6/2022,7:55:00 PM,1/6/2022,7:59:00 PM,45,-4,230,0,2018,Boeing,B739,0
44567,8,DL,1170,N712TW,JFK,DEN,1/6/2022,8:18:00 AM,1/6/2022,8:05:00 AM,26,13,230,0,1997,Boeing,B752,0
44567,13,DL,1175,N333NB,JFK,AUS,1/6/2022,1:00:00 PM,1/6/2022,1:05:00 PM,21,-5,237,0,2001,Airbus,A319,0
44567,16,9E,4829,N314PQ,JFK,RDU,1/6/2022,4:55:00 PM,1/6/2022,4:55:00 PM,16,0,86,0,2014,Bombardier,CRJ9,0
44567,8,9E,4873,N691CA,JFK,RDU,1/6/2022,8:08:00 AM,1/6/2022,8:15:00 AM,37,-7,78,0,2007,Bombardier,CRJ9,0
44567,11,9E,5113,N314PQ,JFK,RDU,1/6/2022,11:35:00 AM,1/6/2022,11:42:00 AM,15,-7,80,0,2014,Bombardier,CRJ9,0
44567,19,9E,5247,N299PQ,JFK,RDU,1/6/2022,7:16:00 PM,1/6/2022,7:20:00 PM,16,-4,83,0,2013,Bombardier,CRJ9,0
44567,13,YX,5619,N235JQ,JFK,RDU,1/6/2022,1:28:00 PM,1/6/2022,1:35:00 PM,14,-7,82,0,2008,Embraer,E75L,0
44567,19,DL,655,N326NB,JFK,AUS,1/6/2022,7:31:00 PM,1/6/2022,6:39:00 PM,38,52,223,0,2001,Airbus,A319,0
44567,10,DL,659,N326NB,JFK,AUS,1/6/2022,10:12:00 AM,1/6/2022,8:30:00 AM,13,102,234,0,2001,Airbus,A319,0
44568,17,AA,2772,N927NN,JFK,AUS,1/7/2022,5:29:00 PM,1/7/2022,5:29:00 PM,18,0,210,0,2013,Boeing,B738,0
44568,0,AA,2813,N953NN,JFK,AUS,1/7/2022,12:00:00 AM,1/7/2022,8:00:00 AM,0,0,0,2,2014,Boeing,B738,0
44568,14,YX,4503,N106HQ,JFK,RDU,1/7/2022,2:21:00 PM,1/7/2022,2:30:00 PM,19,-9,82,0,2007,Embraer,E75L,1
44568,16,YX,4540,N870RW,JFK,RDU,1/7/2022,4:43:00 PM,1/7/2022,4:45:00 PM,23,-2,79,0,2006,Embraer,E170,0
44568,12,YX,4628,N138HQ,JFK,RDU,1/7/2022,12:52:00 PM,1/7/2022,1:00:00 PM,41,-8,80,0,2008,Embraer,E75L,1
44568,0,YX,4926,N110HQ,JFK,RDU,1/7/2022,12:00:00 AM,1/7/2022,7:40:00 AM,0,0,0,2,2007,Embraer,E75L,0
44568,18,B6,1185,N178JB,JFK,RDU,1/7/2022,6:00:00 PM,1/7/2022,5:29:00 PM,26,31,74,0,2005,Embraer,E190,0
44568,22,B6,1295,N503JB,JFK,AUS,1/7/2022,10:12:00 PM,1/7/2022,8:40:00 PM,16,92,206,0,1999,Airbus,A320,0
44568,13,B6,285,N358JB,JFK,RDU,1/7/2022,1:25:00 PM,1/7/2022,12:20:00 PM,17,65,80,0,2013,Embraer,E190,1
44568,0,B6,295,N789JB,JFK,AUS,1/7/2022,12:00:00 AM,1/7/2022,1:44:00 PM,0,0,0,2,2011,Airbus,A320,0
44568,20,B6,385,N334JB,JFK,RDU,1/7/2022,8:43:00 PM,1/7/2022,8:40:00 PM,29,3,70,0,2011,Embraer,E190,0
44568,20,B6,97,N997JL,JFK,DEN,1/7/2022,8:56:00 PM,1/7/2022,8:00:00 PM,36,56,244,0,2018,Airbus,A321,0
